,dummies,value,type
0,1,301.6288751358101,uniform
1,1,1007.7729586757473,poisson
2,1,269.4353547189064,gaussian
3,1,296.3052300231463,triangular
4,1,162.03694487649042,uniform
5,1,839.1822900478276,poisson
6,1,591.8253058453442,gaussian
7,1,1601.468455976336,triangular
8,1,1840.6388843426532,uniform
9,1,840.0786554570234,poisson
10,1,233.94172479754909,gaussian
11,1,453.44661979944,triangular
12,1,1051.2828771830712,uniform
13,1,1344.0297387621272,poisson
14,1,800.7981568707921,gaussian
15,1,1005.5075541101945,triangular
16,1,1209.5598640892485,uniform
17,1,678.4299176333649,poisson
18,1,75.92087561230309,gaussian
19,1,1067.2768980771336,triangular
20,1,383.4484965528683,uniform
21,1,680.240198358849,poisson
22,1,841.344070950824,gaussian
23,1,662.4836914199578,triangular
24,1,177.69202740287668,uniform
25,1,840.2308660278819,poisson
26,1,755.2276692484795,gaussian
27,1,1425.154097941223,triangular
28,1,1810.6821479294904,uniform
29,1,850.1463644211047,poisson
30,1,926.0865652650436,gaussian
31,1,672.2031115127347,triangular
32,1,440.24294692140506,uniform
33,1,0.0,poisson
34,1,807.3959587830967,gaussian
35,1,1278.7808774756727,triangular
36,1,1953.3112095911881,uniform
37,1,839.857204537225,poisson
38,1,843.0523873400361,gaussian
39,1,242.3979599587895,triangular
40,1,1788.5557056099135,uniform
41,1,1011.532678302701,poisson
42,1,546.5215694703161,gaussian
43,1,682.3813370318924,triangular
44,1,1661.7520386958918,uniform
45,1,510.05512570562263,poisson
46,1,39.88188755696019,gaussian
47,1,742.5978002562977,triangular
48,1,441.6664901696939,uniform
49,1,1187.5989240326562,poisson
50,1,170.9867167755825,gaussian
51,1,216.9554315876013,triangular
52,1,1753.4365961613178,uniform
53,1,674.1423348470325,poisson
54,1,297.3736566809987,gaussian
55,1,1493.296774826265,triangular
56,1,936.0394546834507,uniform
57,1,1011.5169645042565,poisson
58,1,818.1294038329432,gaussian
59,1,682.9240213044758,triangular
60,1,793.9172191494097,uniform
61,1,1181.010724154205,poisson
62,1,335.9643587266647,gaussian
63,1,493.80509298270727,triangular
64,1,804.7733282934194,uniform
65,1,1017.7158583180377,poisson
66,1,193.84829956003261,gaussian
67,1,316.28946038605795,triangular
68,1,732.0202614470244,uniform
69,1,508.14357695914816,poisson
70,1,830.7225233808988,gaussian
71,1,1100.019336183855,triangular
72,1,1050.978533806373,uniform
73,1,1343.607013626504,poisson
74,1,1387.075918235134,gaussian
75,1,622.9967446322944,triangular
76,1,313.6506253649617,uniform
77,1,839.1120356076041,poisson
