,dummies,value,type
0,2,529.5454946810005,uniform
1,2,962.7720725495299,poisson
2,2,198.04413612615164,gaussian
3,2,882.4917461991319,triangular
4,3,942.5775478929071,uniform
5,3,879.572823977237,poisson
6,3,415.1074922573641,gaussian
7,3,679.169959560211,triangular
8,4,357.1406903784156,uniform
9,4,461.201503915217,poisson
10,4,294.5463449592777,gaussian
11,4,89.05689571638385,triangular
12,5,603.4390547913486,uniform
13,5,353.173995632865,poisson
14,5,314.1701638774048,gaussian
15,5,353.35700987880784,triangular
16,6,404.0359765565103,uniform
17,6,323.2420258449634,poisson
18,6,75.80916483285628,gaussian
19,6,192.09301435119153,triangular
20,7,283.3239538972914,uniform
21,7,118.28239976595994,poisson
22,7,16.32162709094043,gaussian
23,7,398.6575201476295,triangular
24,8,252.2500920693876,uniform
25,8,520.0642970254438,poisson
26,8,225.75352091866438,gaussian
27,8,183.97957589199788,triangular
28,9,345.7576927835107,uniform
29,9,386.7258067954371,poisson
30,9,217.99083843419504,gaussian
31,9,115.16816627052701,triangular
32,10,657.2308826456357,uniform
33,10,301.747207856568,poisson
34,10,179.65365887320945,gaussian
35,10,282.64540424910507,triangular
36,11,104.43245531856077,uniform
37,11,232.11081132566642,poisson
38,11,272.75458742327373,gaussian
39,11,257.5340197476834,triangular
40,12,291.10137995085705,uniform
41,12,258.51624424272035,poisson
42,12,127.26279907954618,gaussian
43,12,466.89455043465694,triangular
44,13,320.15104214857996,uniform
45,13,142.76217620429748,poisson
46,13,94.52700006514226,gaussian
47,13,194.17803828832737,triangular
48,14,327.3963322540444,uniform
49,14,55.4754255651852,poisson
50,14,276.00128299041955,gaussian
51,14,314.5929582603711,triangular
52,15,258.8225642251597,uniform
53,15,433.42985162780644,poisson
54,15,99.94423969748499,gaussian
55,15,111.22202819513986,triangular
56,16,271.3128439823415,uniform
57,16,271.6402914242716,poisson
58,16,362.9743146846334,gaussian
59,16,338.1785780986303,triangular
60,17,53.379489360331064,uniform
61,17,172.33851274070892,poisson
62,17,107.48635604022215,gaussian
63,17,242.6221722934777,triangular
64,18,470.3483674126413,uniform
65,18,141.2838516684263,poisson
66,18,183.44140698005242,gaussian
67,18,167.21551993018488,triangular
68,19,259.24101791984947,uniform
69,19,191.08899048874656,poisson
70,19,89.31931265704121,gaussian
71,19,238.14218729398203,triangular
72,20,38.859636433562606,uniform
73,20,81.28433994121394,poisson
74,20,197.43723668835077,gaussian
75,20,111.9770141909958,triangular
76,21,137.51197998051012,uniform
77,21,239.73801749391467,poisson
78,21,119.5634156755276,gaussian
79,21,173.1312913536577,triangular
80,22,76.86698857036166,uniform
81,22,108.46077549279059,poisson
82,22,165.5650428083136,gaussian
83,22,122.19689194768213,triangular
84,23,287.72124265723363,uniform
85,23,191.08762698257647,poisson
86,23,143.39929063147608,gaussian
87,23,211.12675345660242,triangular
88,24,129.94802852518873,uniform
89,24,105.39052238094894,poisson
90,24,185.33059204384753,gaussian
91,24,249.27073080006718,triangular
92,25,440.6196736321315,uniform
93,25,111.55568016447117,poisson
94,25,121.04268903625507,gaussian
95,25,179.373280631893,triangular
96,26,67.05573008916753,uniform
97,26,251.82994852716567,poisson
98,26,37.301146567407734,gaussian
99,26,279.60193524965905,triangular
100,27,134.63425730377173,uniform
101,27,123.87227016189276,poisson
102,27,162.56723609459516,gaussian
103,27,48.47128946065899,triangular
104,28,158.1426356030249,uniform
105,28,325.34892606868743,poisson
106,28,108.52071854358888,gaussian
107,28,132.17755016812242,triangular
108,29,350.48780603905345,uniform
109,29,258.93828696103543,poisson
110,29,30.85918132798834,gaussian
111,29,144.3545020771598,triangular
112,30,235.33997919022406,uniform
113,30,272.81548356796026,poisson
114,30,166.1118963549585,gaussian
115,30,71.42992476400553,triangular
116,2,397.4424018426851,uniform
117,2,367.1784694287029,poisson
118,2,950.2869121268005,gaussian
119,2,569.7144482949146,triangular
120,3,855.1508896421118,uniform
121,3,320.83646822265877,poisson
122,3,184.8452717100796,gaussian
123,3,642.5171910112493,triangular
124,4,741.4807338169156,uniform
125,4,282.51613664802454,poisson
126,4,378.534905606251,gaussian
127,4,350.2463481949601,triangular
128,5,517.6372624711531,uniform
129,5,306.6731732594527,poisson
