,radius,value,type
0,0.0,0,uniform
1,0.0,0,poisson
2,0.0,0,gaussian
3,0.0,0,triangular
4,0.0,0,uniform
5,0.0,0,poisson
6,0.0,0,gaussian
7,0.0,0,triangular
8,0.0,0,uniform
9,0.0,0,poisson
10,0.0,0,gaussian
11,0.0,0,triangular
12,0.0,0,uniform
13,0.0,0,poisson
14,0.0,0,gaussian
15,0.0,0,triangular
16,0.0,0,uniform
17,0.0,0,poisson
18,0.0,0,gaussian
19,0.0,0,triangular
20,0.0,0,uniform
21,0.0,0,poisson
22,0.0,0,gaussian
23,0.0,0,triangular
24,0.0,0,uniform
25,0.0,0,poisson
26,0.0,0,gaussian
27,0.0,0,triangular
28,0.0,0,uniform
29,0.0,0,poisson
30,0.0,0,gaussian
31,0.0,0,triangular
32,0.0,0,uniform
33,0.0,0,poisson
34,0.0,0,gaussian
35,0.0,0,triangular
36,0.0,0,uniform
37,0.0,0,poisson
38,0.0,0,gaussian
39,0.0,0,triangular
40,0.0,0,uniform
41,0.0,0,poisson
42,0.0,0,gaussian
43,0.0,0,triangular
44,0.0,0,uniform
45,0.0,0,poisson
46,0.0,0,gaussian
47,0.0,0,triangular
48,0.0,0,uniform
49,0.0,0,poisson
50,0.0,0,gaussian
51,0.0,0,triangular
52,0.0,0,uniform
53,0.0,0,poisson
54,0.0,0,gaussian
55,0.0,0,triangular
56,0.0,0,uniform
57,0.0,0,poisson
58,0.0,0,gaussian
59,0.0,0,triangular
60,0.0,0,uniform
61,0.0,0,poisson
62,0.0,0,gaussian
63,0.0,0,triangular
64,0.0,0,uniform
65,0.0,0,poisson
66,0.0,0,gaussian
67,0.0,0,triangular
68,0.0,0,uniform
69,0.0,0,poisson
70,0.0,0,gaussian
71,0.0,0,triangular
72,0.0,0,uniform
73,0.0,0,poisson
74,0.0,0,gaussian
75,0.0,0,triangular
76,0.0,0,uniform
77,0.0,0,poisson
78,0.0,0,gaussian
79,0.0,0,triangular
80,0.0,0,uniform
81,0.0,0,poisson
82,0.0,0,gaussian
83,0.0,0,triangular
84,0.0,0,uniform
85,0.0,0,poisson
86,0.0,0,gaussian
87,0.0,0,triangular
88,0.0,0,uniform
89,0.0,0,poisson
90,0.0,0,gaussian
91,0.0,0,triangular
92,0.0,0,uniform
93,0.0,0,poisson
94,0.0,0,gaussian
95,0.0,0,triangular
96,0.0,0,uniform
97,0.0,0,poisson
98,0.0,0,gaussian
99,0.0,0,triangular
100,0.0,0,uniform
101,0.0,0,poisson
102,0.0,0,gaussian
103,0.0,0,triangular
104,0.0,0,uniform
105,0.0,0,poisson
106,0.0,0,gaussian
107,0.0,0,triangular
108,0.0,0,uniform
109,0.0,0,poisson
110,0.0,0,gaussian
111,0.0,0,triangular
112,0.0,0,uniform
113,0.0,0,poisson
114,0.0,0,gaussian
115,0.0,0,triangular
116,0.0,0,uniform
117,0.0,0,poisson
118,0.0,0,gaussian
119,0.0,0,triangular
120,0.0,0,uniform
121,0.0,0,poisson
122,0.0,0,gaussian
123,0.0,0,triangular
124,0.0,0,uniform
125,0.0,0,poisson
126,0.0,0,gaussian
127,0.0,0,triangular
128,0.0,0,uniform
129,0.0,0,poisson
130,0.0,0,gaussian
131,0.0,0,triangular
132,0.0,0,uniform
133,0.0,0,poisson
134,0.0,0,gaussian
135,0.0,0,triangular
136,0.0,0,uniform
137,0.0,0,poisson
138,0.0,0,gaussian
139,0.0,0,triangular
140,0.0,0,uniform
141,0.0,0,poisson
142,0.0,0,gaussian
143,0.0,0,triangular
144,0.0,0,uniform
145,0.0,0,poisson
146,0.0,0,gaussian
147,0.0,0,triangular
148,0.0,0,uniform
149,0.0,0,poisson
150,0.0,0,gaussian
151,0.0,0,triangular
152,0.0,0,uniform
153,0.0,0,poisson
154,0.0,0,gaussian
155,0.0,0,triangular
156,0.0,0,uniform
157,0.0,0,poisson
158,0.0,0,gaussian
159,0.0,0,triangular
160,0.0,0,uniform
161,0.0,0,poisson
162,0.0,0,gaussian
163,0.0,0,triangular
164,0.0,0,uniform
165,0.0,0,poisson
166,0.0,0,gaussian
167,0.0,0,triangular
168,0.0,0,uniform
169,0.0,0,poisson
170,0.0,0,gaussian
171,0.0,0,triangular
172,0.0,0,uniform
173,0.0,0,poisson
174,0.0,0,gaussian
175,0.0,0,triangular
176,0.0,0,uniform
177,0.0,0,poisson
178,0.0,0,gaussian
179,0.0,0,triangular
180,0.0,0,uniform
181,0.0,0,poisson
182,0.0,0,gaussian
183,0.0,0,triangular
184,0.0,0,uniform
185,0.0,0,poisson
186,0.0,0,gaussian
187,0.0,0,triangular
188,0.0,0,uniform
189,0.0,0,poisson
190,0.0,0,gaussian
191,0.0,0,triangular
192,0.0,0,uniform
193,0.0,0,poisson
194,0.0,0,gaussian
195,0.0,0,triangular
196,0.0,0,uniform
197,0.0,0,poisson
198,0.0,0,gaussian
199,0.0,0,triangular
200,0.0,0,uniform
201,0.0,0,poisson
202,0.0,0,gaussian
203,0.0,0,triangular
204,0.0,0,uniform
205,0.0,0,poisson
206,0.0,0,gaussian
207,0.0,0,triangular
208,0.0,0,uniform
209,0.0,0,poisson
210,0.0,0,gaussian
211,0.0,0,triangular
212,0.0,0,uniform
213,0.0,0,poisson
214,0.0,0,gaussian
215,0.0,0,triangular
216,0.0,0,uniform
217,0.0,0,poisson
218,0.0,0,gaussian
219,0.0,0,triangular
220,0.0,0,uniform
221,0.0,0,poisson
222,0.0,0,gaussian
223,0.0,0,triangular
224,0.0,0,uniform
225,0.0,0,poisson
226,0.0,0,gaussian
227,0.0,0,triangular
228,0.0,0,uniform
229,0.0,0,poisson
230,0.0,0,gaussian
231,0.0,0,triangular
232,0.0,0,uniform
233,0.0,0,poisson
234,0.0,0,gaussian
235,0.0,0,triangular
236,0.0,0,uniform
237,0.0,0,poisson
238,0.0,0,gaussian
239,0.0,0,triangular
240,0.0,0,uniform
241,0.0,0,poisson
242,0.0,0,gaussian
243,0.0,0,triangular
244,0.0,0,uniform
245,0.0,0,poisson
246,0.0,0,gaussian
247,0.0,0,triangular
248,0.0,0,uniform
249,0.0,0,poisson
250,0.0,0,gaussian
251,0.0,0,triangular
252,0.0,0,uniform
253,0.0,0,poisson
254,0.0,0,gaussian
255,0.0,0,triangular
256,0.0,0,uniform
257,0.0,0,poisson
258,0.0,0,gaussian
259,0.0,0,triangular
260,0.0,0,uniform
261,0.0,0,poisson
262,0.0,0,gaussian
263,0.0,0,triangular
264,0.0,0,uniform
265,0.0,0,poisson
266,0.0,0,gaussian
267,0.0,0,triangular
268,0.0,0,uniform
269,0.0,0,poisson
270,0.0,0,gaussian
271,0.0,0,triangular
272,0.0,0,uniform
273,0.0,0,poisson
274,0.0,0,gaussian
275,0.0,0,triangular
276,0.0,0,uniform
277,0.0,0,poisson
278,0.0,0,gaussian
279,0.0,0,triangular
280,0.0,0,uniform
281,0.0,0,poisson
282,0.0,0,gaussian
283,0.0,0,triangular
284,0.0,0,uniform
285,0.0,0,poisson
286,0.0,0,gaussian
287,0.0,0,triangular
288,0.0,0,uniform
289,0.0,0,poisson
290,0.0,0,gaussian
291,0.0,0,triangular
292,0.0,0,uniform
293,0.0,0,poisson
294,0.0,0,gaussian
295,0.0,0,triangular
296,0.0,0,uniform
297,0.0,0,poisson
298,0.0,0,gaussian
299,0.0,0,triangular
300,0.0,0,uniform
301,0.0,0,poisson
302,0.0,0,gaussian
303,0.0,0,triangular
304,0.0,0,uniform
305,0.0,0,poisson
306,0.0,0,gaussian
307,0.0,0,triangular
308,0.0,0,uniform
309,0.0,0,poisson
310,0.0,0,gaussian
311,0.0,0,triangular
312,0.0,0,uniform
313,0.0,0,poisson
314,0.0,0,gaussian
315,0.0,0,triangular
316,0.0,0,uniform
317,0.0,0,poisson
318,0.0,0,gaussian
319,0.0,0,triangular
320,0.0,0,uniform
321,0.0,0,poisson
322,0.0,0,gaussian
323,0.0,0,triangular
324,0.0,0,uniform
325,0.0,0,poisson
326,0.0,0,gaussian
327,0.0,0,triangular
328,0.0,0,uniform
329,0.0,0,poisson
330,0.0,0,gaussian
331,0.0,0,triangular
332,0.0,0,uniform
333,0.0,0,poisson
334,0.0,0,gaussian
335,0.0,0,triangular
336,0.0,0,uniform
337,0.0,0,poisson
338,0.0,0,gaussian
339,0.0,0,triangular
340,0.0,0,uniform
341,0.0,0,poisson
342,0.0,0,gaussian
343,0.0,0,triangular
344,0.0,0,uniform
345,0.0,0,poisson
346,0.0,0,gaussian
347,0.0,0,triangular
348,0.0,0,uniform
349,0.0,0,poisson
350,0.0,0,gaussian
351,0.0,0,triangular
352,0.0,0,uniform
353,0.0,0,poisson
354,0.0,0,gaussian
355,0.0,0,triangular
356,0.0,0,uniform
357,0.0,0,poisson
358,0.0,0,gaussian
359,0.0,0,triangular
360,0.0,0,uniform
361,0.0,0,poisson
362,0.0,0,gaussian
363,0.0,0,triangular
364,0.0,0,uniform
365,0.0,0,poisson
366,0.0,0,gaussian
367,0.0,0,triangular
368,0.0,0,uniform
369,0.0,0,poisson
370,0.0,0,gaussian
371,0.0,0,triangular
372,0.0,0,uniform
373,0.0,0,poisson
374,0.0,0,gaussian
375,0.0,0,triangular
376,0.0,0,uniform
377,0.0,0,poisson
378,0.0,0,gaussian
379,0.0,0,triangular
380,0.0,0,uniform
381,0.0,0,poisson
382,0.0,0,gaussian
383,0.0,0,triangular
384,0.0,0,uniform
385,0.0,0,poisson
386,0.0,0,gaussian
387,0.0,0,triangular
388,0.0,0,uniform
389,0.0,0,poisson
390,0.0,0,gaussian
391,0.0,0,triangular
392,0.0,0,uniform
393,0.0,0,poisson
394,0.0,0,gaussian
395,0.0,0,triangular
396,0.0,0,uniform
397,0.0,0,poisson
398,0.0,0,gaussian
399,0.0,0,triangular
400,0.25,0,uniform
401,0.25,0,poisson
402,0.25,0,gaussian
403,0.25,0,triangular
404,0.25,0,uniform
405,0.25,0,poisson
406,0.25,0,gaussian
407,0.25,0,triangular
408,0.25,0,uniform
409,0.25,0,poisson
410,0.25,0,gaussian
411,0.25,1,triangular
412,0.25,0,uniform
413,0.25,0,poisson
414,0.25,0,gaussian
415,0.25,0,triangular
416,0.25,0,uniform
417,0.25,1,poisson
418,0.25,0,gaussian
419,0.25,0,triangular
420,0.25,0,uniform
421,0.25,0,poisson
422,0.25,0,gaussian
423,0.25,0,triangular
424,0.25,0,uniform
425,0.25,0,poisson
426,0.25,0,gaussian
427,0.25,0,triangular
428,0.25,0,uniform
429,0.25,1,poisson
430,0.25,0,gaussian
431,0.25,1,triangular
432,0.25,0,uniform
433,0.25,0,poisson
434,0.25,0,gaussian
435,0.25,0,triangular
436,0.25,0,uniform
437,0.25,0,poisson
438,0.25,0,gaussian
439,0.25,0,triangular
